"mpg","pounds","horsepower","cylinders","tons","constant"
16.9,3967.6,155,8,2,1
15.5,3689.14,142,8,1.8,1
19.2,3280.55,125,8,1.6,1
18.5,3585.4,150,8,1.8,1
30,1961.05,68,4,1,1
27.5,2329.6,95,4,1.2,1
27.2,2093,97,4,1,1
30.9,2029.3,75,4,1,1
20.3,2575.3,103,5,1.3,1
17,2857.4,125,6,1.4,1
21.6,2543.45,115,4,1.3,1
16.2,3103.1,133,6,1.6,1
20.6,3075.8,105,6,1.5,1
20.8,2793.7,85,6,1.4,1
18.6,3294.2,110,6,1.6,1
18.1,3103.1,120,6,1.6,1
17,3494.4,130,8,1.7,1
17.6,3389.75,129,8,1.7,1
16.5,3599.05,138,8,1.8,1
18.2,3485.3,135,8,1.7,1
26.5,2352.35,88,4,1.2,1
21.9,2648.1,109,6,1.3,1
34.1,1797.25,65,4,0.9,1
35.1,1742.65,80,4,0.9,1
27.4,2429.7,80,4,1.2,1
31.5,1810.9,71,4,0.9,1
29.5,1942.85,68,4,1,1
28.4,2429.7,90,4,1.2,1
28.8,2361.45,115,6,1.2,1
26.8,2457,115,6,1.2,1
33.5,2325.96,90,4,1.2,1
34.2,2002,70,4,1,1
31.8,1838.2,65,4,0.9,1
37.3,1938.3,69,4,1,1
30.5,1992.9,78,4,1,1
22,2561.65,97,6,1.3,1
21.5,2366,110,4,1.2,1
31.9,1.925,71,4,0,1
